English,Chinese
profess,"宣称，信奉，妄称，伪称"
contend,"声称，主张，认为；搏斗，争斗，争夺，竞争；辩论，据理力争"
sue,"控告，提起诉讼，（法庭上）提出请求"
absolve,"宣告...无罪，判定...无责，赦免...的罪"
condemn,"谴责，指责，宣判，判处（某人刑罚）"
denounce,"谴责，指责，抨击，告发"
depose,"罢免，废黜"
deplore,"强烈反对，公开谴责"
deploy,"部署，利用，（军事）展开，（使）张开"
demolish,"拆毁，破坏，驳倒，轻易而彻底地打败"
ravage,"毁坏，损坏，严重损害；灾害，破坏，暴力"
sack,"解雇，炒鱿鱼，（旧时军队）破坏，擒杀；袋子，床；劫掠"
annihilate,"消灭，毁灭，歼灭，彻底击败"
assail,"攻击，困扰，袭击，抨击"
encroach,"侵蚀，侵占，侵犯（某人权利），扰乱（某人生活）"
persecute,"迫害，残害，压迫，骚扰，纠缠"
ravish,"强暴，强奸，使狂喜，使销魂"
defile,"玷污，亵渎，弄脏，糟蹋"
perpetrate,"犯（罪），做（错事），干（坏事）"
tamper,"干扰，篡改（遗嘱/稿件/器械），贿赂"
denote,"象征，预示，表示，意指"
dispense,"分配，分发，提供（服务），配（药），免除"
disperse,"（使）分散，散开；疏散，驱散；散步，传播"
diffuse,"弥漫，漫射，传播，散布；（文章）冗长的，漫无边际的，四散的，弥漫的"
scatter,"撒播，（使）分散；驱散，消散，零星出现（或）发生，散射；撒播，散布，消散，零星少星，零星散布的东西"
toss,"掷，扔，抛，摇匀，甩头，掷硬币决定；掷硬币决定；投掷"
repent,"后悔，忏悔，悔过；匍匐生根的，爬行的"
repel,"使恐惧，使厌恶；击退，驱逐；排斥，相斥"
eradicate,"根除，消灭"
dump,"倾倒，抛售，抛弃，转存；垃圾场，转储，转存，废物堆"
forsake,"抛弃，遗弃，离开"
surpass,"超过，胜过，优于"
flare,"加剧，（短暂）烧旺，（摇曳着）燃烧，（火光）闪耀；照明弹，（短暂的）旺火，（摇曳的）光，（闪耀的）火光"
flash,"闪光，掠过，（向...）用光（发出信号），显示；闪光（灯），闪耀，（信号灯）闪亮；庞大的，昂贵的，穿着奢华的"
gleam,"发微光，闪烁，隐约闪光，（在眼中）闪现；闪烁，闪亮，闪现"
glisten,"闪耀，闪光"
vacate,"搬出，腾空，辞（职），让（位）"
elapse,"（时间）流逝"
recede,"后退，减弱，撤回"
redeem,"赎回，救赎，兑换，兑现"
teem,"倾注，倾泻"
sterilize,"消毒，灭菌，使绝育"
peddle,"兜售，挨户销售，巡回销售"
tout,"兜售，吹捧，推销，标榜，招徕顾客"
devote,"致力，献身，倾注，用于"
loom,"隐约地出现，赫然耸现，（战争、威胁）阴森地逼近，在织机上织；隐隐呈现的形象，大而朦胧的影子，织机，织造术"
"boom,""激增，繁荣昌盛，轰鸣，轰响；繁荣，吊杆，（某种体育运动、音乐等）突然风靡的时期
猛涨起来的"""
zoom,"快速移动，嗡嗡地活动，急剧增长，猛涨；直线上升，激增，嗡嗡声，可变焦距镜头"
surge,"浪涌，激增，汹涌，涌动；激增，（强烈感情的）突发，大量，一大批"
soar,"翱翔，高飞，猛增，高耸；翱翔，上升高度，高飞范围"
dilute,"稀释，冲淡，变稀，变淡，降低（品质），削弱（信念）；稀释的，淡的，稀薄的，褪了的，减弱了的淡化了的"
shrink,"（使）收缩，（使）退缩，（使）畏缩，（使）缩水，（使）变小，（使）贬值，回避；退缩，畏缩，缩水，皱缩"
abate,"减少"
depreciate,"贬值，贬低，轻视，跌价"
flutter,"（使）飘动，颤动，振翅，鼓翼；振动，飘动，挥动，颤动"
narrate,"叙述，讲/写/编（故事），做旁白说明"
commence,"开始发生；开始，着手"
commend,"赞扬，称赞，推荐，举荐，把...托付给"
hush,"使安静，缄默；肃静，安静，鸦雀无声"
herald,"是（某事）的前兆，预示，宣布（好或重要的事）；预兆，信使，传令官"
protrude,"突出，伸出，鼓出"
condense,"（由气体）冷凝，（使气体）凝结，变稠，简缩"
clutter,"凌乱地塞满，乱堆放；杂乱，杂乱的东西（不需要或无用的）"
chatter,"唠叨，喋喋不休，唧唧叫，吱吱叫，咯咯作响，打颤，闲聊，闲扯；吱吱声，唧唧声，咯咯声，打颤声，（网络聊天室的）网友"
gurgle,"（发出）汩汩声/潺潺声/（婴儿高兴时）咯咯声"
grunt,"咕哝，嘟囔，（发出）哼声"
sneer,"嘲笑，讥讽，冷笑"
snicker,"窃笑，暗笑"
snigger,"窃笑，暗笑"
scorn,"蔑视，看不起，拒绝；轻蔑，不屑一顾，受侮弄/嘲笑的人，笑柄"
trifle,"开玩笑，嘲弄，轻视，戏弄，玩弄，闲混，虚度光阴，浪费；小事，琐事，小物件，小玩意儿，不值钱的东西，稍微，少量，一点儿"
delegate,"选派（某人做某事），授权，委派；代表，会议代表"
enlist,"争取，征募，（使）入伍，从军"
conscript,"征募，征召；应征入伍者；被征入伍的"
overrule,"（以权力）否定"
tickle,"挠痒痒，（感到发）痒"
disconcert,"使不安，使困惑，使尴尬"
hamper,"妨碍，阻碍；（用于盛食物的）带盖大篮子"
whip,"鞭打，鞭笞；击败，抽打；鞭子，鞭状天线，投票指示，议员领袖"
thrash,"抽打，痛打，猛烈扭动，彻底击败"
whirl,"回旋，激动；旋转，回旋，急转，接连不断的活动"
linger,"停留，逗留，徘徊，苟延残踹"
stroll,"散步，溜达，闲逛"
limp,"跛行，缓慢行进；艰难移动；跛行；软的，柔软的，轻柔的，无力的"
lumber,"缓慢地移动，笨拙地行进，伐木，采伐...的林木，沾满，乱糟糟地堆放，拖累，使陷入困境，逮捕；木材，木料，废旧家具，无用的材料，赘肉"
scramble,"（迅速而吃力地）爬，攀登，匆忙移动，仓促完成（困难的事），争夺，抢夺，倒换（扰乱）频率，打乱；攀爬，爬行，（互相推撞的）争夺，争抢，（因赶任务出现的）忙乱，忙作一团"
shamble,"拖着脚走，蹒跚；蹒跚，踉跄"
sift,"筛（查）；精挑细选；详审，区分"
perch,"栖息于，置于，位于；（鸟的）栖木，栖息处；高处"
roost,"栖息；（鸟类的）栖息处"
convert,"（使）转变，（使）改变信仰；皈依者，改变信仰的人"
baptize,"施洗，受洗，付洗，洗礼"
heave,"举，抛，拉；（吃力地）发出声音；（强烈有节奏地）起伏"
probe,"盘问，追问，探查，探测；探究，详细调查，探针，探测器"
poke,"戳，刺，捅，伸出，探出"
shiver,"颤抖，寒战"
intercept,"拦截，拦阻，截住；拦截，截距，侦听"
pop,"（使）发砰砰声，发爆裂声，（突然或匆匆）去，（迅速或突然）放置；流行音乐，汽水，砰，爹；突然，碰地（一声）；流行音乐的，通俗风格的，通俗的，现代的"
wilt,"蔫，枯萎，凋谢；变得萎靡不振，失去自信；将（草、饲料等）晒成半干"
wither,"（使）枯萎，（使）干枯；衰弱，逐渐消失；使感到愚蠢，使感到羞愧；（人的四肢、皮肤等）变枯槁，萎缩"
inaugurate,"开创；为（某人）举行就职典礼；为...举行落成仪式（或创建仪式）；引进"
dumbfound,"使惊呆"
dislodge,"取出，赶出"
incise,"（在表面）雕，切入"
haste,"匆忙，仓促，急速；匆忙，催促"
hasty,"匆忙的，仓促的；草率的，轻率的；<古>易怒的"
immaculate,"特别整洁的，无误的，无过失的"
feat,"技艺，武艺，功绩，英勇事迹；合适的，灵巧的，整洁的"
inaugural,"就职的，开幕的，成立的创始的"
effusive,"热情洋溢的，太动感情的，奔放的"
emotive,"激起感情的，有感染力的，激动人心的"
fiery,"火一般的，火的，暴躁的，易怒的"
hysterical,"歇斯底里的，极其可笑的，情绪狂暴不可抑止的"
vicious,"恶毒的，狂暴的，残酷的，凶猛危险的；充满仇恨的；恶劣的，严重的"
livid,"暴怒的，狂怒的，乌青色的，青灰色的"
irascible,"易怒的，暴躁的"
docile,"温顺的"
obedient,"服从的，顺从的"
mischievous,"顽皮的，捣蛋的；招惹是非的，恶意的"
contemptuous,"轻蔑的，鄙夷的"
fatuous,"愚蠢的，愚昧的"
futile,"徒然的，徒劳的，无效的"
sane,"精神健全的，神智正常的，明智的，理智的"
sober,"未喝醉的，清醒的，认真的，严肃的，素淡的，朴素的；变得冷静，（使）变得持重/谨慎/严肃"
bland,"平淡的，乏味的，清淡的，无滋味的"
pious,"虔诚的，敬神的，尽责的，神圣的，值得称赞的，不可能实现的"
unanimous,"一致的，一致同意的，意见一致的"
hollow,"空的，空心的，空洞的；树洞，凹陷处"
gregarious,"交际的，合群的，群居的"
hereditary,"遗传（性）的；世袭的"
hardy,"能吃苦耐劳的；适应力强的；耐寒的"
rear,"后面的；后部的；后部，屁股，臀部；抚养，养育，饲养，用后退直立"
delinquent,"有违法倾向的，拖欠债务的，欠债未还的，到期未付的；少年罪犯，懈怠者，过失者，违反者"
eccentric,"古怪的，异乎寻常的；怪人，偏心圆，偏心器，离心圈"
conspicuous,"易见的，明显的，惹人注意的"
noticeable,"显著的，显而易见的"
temperate,"气候温和的，温带的，心平气和的，自我克制的"
subordinate,"隶属的，下级的，次要的；下级，部署；把...置于次要地位，使从属于"
harsh,"令人不快的，严酷的，（无端地）严厉的，刺眼的，刺耳的，过于强烈的"
inert,"无活动能力的，无行动力的，惰性的，不活泼的"
inertia,"惯性，惰性，保守，缺乏活力"
graphic,"绘画的，书画的，图样的，图案的；图形，绘画，图表，图解"
interim,"暂时的，过渡的，期中的；临时（协定/敕令）"
interlude,"（两事件之间的）间歇，插入事件，（戏剧、电影等的）幕间休息"
conducive,"有益于...的"
prone,"有做（坏事）的倾向；易于遭受...的"
desirous,"渴望的，希望的，想要的"
impenetrable,"不可进入的，穿不过的，无法透视的，不可理解的"
barbarous,"残酷的，骇人听闻的，缺乏教养的，粗野的"
barbarian,"野蛮人，没有文化的人，粗野的人；野蛮（人）的"
extraneous,"没有直接联系的，无关的"
ominous,"不祥的，恶兆的，不吉利的"
unwitting,"不知情的，糊里糊涂的，无意的"
hackneyed,"陈腐的，平庸的"
harebrained,"不实际的"
squalid,"肮脏的，邋遢的，道德败坏的，丑恶的"
tacit,"心照不宣的，不言而喻的，默示的"
insurmountable,"无法克服的，难以解决的，不可逾越的"
weary,"疲惫的，使人疲劳的，使人厌烦的，（对...）不再感兴趣；使疲劳，使疲倦，失去热情"
fatigue,"疲乏，疲劳，疲倦"
dissension,"意见分歧，纷争，不和"
hassle,"麻烦，争论；麻烦，困难，分歧，争论"
haggle,"争论，（尤指）讲价；讨价还价，争论"
haggard,"（由于生病、焦虑或睡眠不足）憔悴的；未驯服的鹰，悍鹰，哈格德"
stoop,"弯腰，俯身，（站立或行走时）弓背；门廊，驼背，曲背"
droop,"垂下，垂头丧气，沮丧，消沉；下垂，颓丧，（声调的）低沉"
brood,"一窝鸟；孵；焦虑，优思"
defiance,"反抗，违抗，拒绝服从"
injunction,"命令，指令，（法院的）强制令，警告"
conformity,"（对社会规则的）遵从，依照；与...一致，符合"
conviction,"信念，坚定，深信，判罪，定罪"
complicity,"共犯，同谋，勾结"
consultation,"咨询，磋商，查阅，商讨"
profile,"轮廓，简介，形象，外形，侧面；扼要介绍，概述，写简介"
corporal,"（陆军、海军陆战队或英国空军的）下士；身体上的，人身的，躯干的"
inclination,"倾向，意向，趋向，趋势，倾斜度，轻微的向下动作"
accompaniment,"伴随物，（音乐）伴奏，佐餐物，伴随发生的事情"
hitch,"搭便车，搭顺风车；拉起（衣服），把...钩住；把...拴住；（短暂的）故障，障碍，（某种）结"
sway,"摇动，说服，使相信，使动摇；影响，摇摆，摆动，统治"
swarm,"成群地来回移动，成群地飞来飞去；一大群（蜜蜂等昆虫）；一大批（向同方向移动的人）"
swathe,"裹，包，覆盖；（割了庄稼的）一长条田地，一长片"
malice,"恶意，怨恨"
discretion,"谨慎，慎重，审慎，自行决定的自由"
composure,"镇静，镇定，沉着"
smear,"诽谤，（用油性或稀软物质）胡乱涂抹，弄脏，弄上油污；污点，污迹，污渍，（政治上的）抹黑"
wit,"智力，头脑，理解力，风趣（的话语），智者，才子"
casualty,"受害者，遇难者，毁坏物，损坏物"
seizure,"发作，没收，夺取，占领"
brunt,"（来自攻击一方的）主要力量（冲势、压力），突击"
swindle,"诈骗，骗取"
fiddle,"不停摆弄，篡改，对...做手脚，虚度光阴；小提琴，欺诈，骗局，小麻烦"
hoodwink,"蒙蔽，欺骗，欺诈，哄骗，遮眼"
con,"欺骗，指挥（操舵/航路），精读；估计，骗局，欺骗；欺诈的；反对，从反面（副词）；反对，用（介词）"
decoy,"引诱，诱骗；诱饵，假鸟，诱惑物，用作诱饵的人"
antiquity,"古（老），文物，古迹"
chronicle,"编年史，历史；把...载入编年史，按事件顺序记载"
derivation,"（词语）起源，出处，派生"
splinter,"分裂，（使）裂成碎片，分离出来；（木头、金属、玻璃）尖碎片"
conceit,"自负，巧妙的言辞，别出心裁的比喻"
brag,"吹嘘，自吹自擂；第一流的，极好的，活泼的；勃莱格牌戏（简化的扑克牌戏）"
complacement,"（表现出）自满的，自鸣得意的"
melancholy,"忧郁，悲伤；令人悲哀的，沮丧的"
grease,"给...加润滑油，在...上涂油（抹油、擦油）；油脂，润滑脂，（炼过的）动物油脂"
revenue,"财政收入，税收收入，收益"
grimace,"做怪相；鬼脸，怪相，脸部扭曲"
friction,"摩擦（力）；分歧，争执"
lease,"租用，租借，出租；租约，租契"
frenzy,"使狂乱；疯狂，狂乱，狂暴"
rampage,"横冲直撞；暴跳如雷，狂暴行为"
premonition,"（尤指不祥的）预感"
mastery,"精通，控制，熟练掌握，驾驭"
grudge,"怨恨，积怨，嫌隙；勉强做，不情愿地给，吝惜，认为...不应得到"
provocation,"挑衅，刺激，激怒"
lest,"以免"
tacit approval,"默许"
precarious living,"朝不保夕的生活"
unfathomable depth,"深不可测"
violent squall,"狂飑"
the crux of the problem,"问题的症结"
beauty pageant,"选美大赛"
be deft at doing,"善于做某事"
elderly and infirm,"年老体弱"
capricious tyrant,"反复无常的暴君"
abject poverty,"穷困潦倒，赤贫"
indelible impression,"不可磨灭的印象"
tumultuous applause,"热烈的掌声"
incubate the eggs,"孵蛋"
circumvent the law,"规避法律"
a hackneyed subject,"老生常谈的话题"
a band of vagrant beggars,"一伙流浪的乞丐"
